epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.513620913028717,9.999999747378752e-05,1.2181031703948975,0.699999988079071,0.7698621153831482
1,0.7360953688621521,9.999999747378752e-05,0.7254815101623535,0.8119999766349792,0.5934280157089233
2,0.8007945418357849,9.999999747378752e-05,0.5633957982063293,0.828000009059906,0.5273801684379578
3,0.8200908303260803,9.999999747378752e-05,0.4786128103733063,0.8240000009536743,0.4941924810409546
4,0.8507378101348877,9.999999747378752e-05,0.4259898364543915,0.8240000009536743,0.5055475831031799
5,0.8717366456985474,9.999999747378752e-05,0.36433789134025574,0.8519999980926514,0.4893987774848938
6,0.8791146278381348,9.999999747378752e-05,0.3486250936985016,0.8560000061988831,0.4441913068294525
7,0.8791146278381348,9.999999747378752e-05,0.3437790274620056,0.8640000224113464,0.4163849651813507
8,0.8927355408668518,9.999999747378752e-05,0.30469006299972534,0.8799999952316284,0.4162144362926483
9,0.9052213430404663,9.999999747378752e-05,0.27860426902770996,0.8880000114440918,0.3899417221546173
10,0.904653787612915,9.999999747378752e-05,0.27790045738220215,0.8560000061988831,0.41661444306373596
11,0.916572093963623,9.999999747378752e-05,0.26049721240997314,0.8880000114440918,0.37150371074676514
12,0.911464273929596,9.999999747378752e-05,0.2535829544067383,0.8759999871253967,0.37971681356430054
13,0.9182747006416321,9.999999747378752e-05,0.22653712332248688,0.8679999709129333,0.41460785269737244
14,0.9097616076469421,9.999999747378752e-05,0.2365320324897766,0.8679999709129333,0.4169146418571472
15,0.9387060403823853,9.999999747378752e-05,0.18853624165058136,0.8679999709129333,0.3897670805454254
16,0.9284903407096863,4.999999873689376e-05,0.20473049581050873,0.8759999871253967,0.3794667422771454
17,0.9375709295272827,4.999999873689376e-05,0.18685802817344666,0.871999979019165,0.39151522517204285
18,0.9466515183448792,4.999999873689376e-05,0.1828266829252243,0.8679999709129333,0.37135475873947144
19,0.938138484954834,4.999999873689376e-05,0.17745546996593475,0.8640000224113464,0.39856812357902527
20,0.941543698310852,4.999999873689376e-05,0.17608894407749176,0.8640000224113464,0.3986179530620575
21,0.9460840225219727,4.999999873689376e-05,0.17045958340168,0.8759999871253967,0.3528156578540802
22,0.9511918425559998,4.999999873689376e-05,0.16884736716747284,0.8600000143051147,0.3831228017807007
23,0.9528944492340088,4.999999873689376e-05,0.15080253779888153,0.8679999709129333,0.3921540081501007
24,0.9443813562393188,4.999999873689376e-05,0.1719721406698227,0.8640000224113464,0.386770099401474
25,0.9551646113395691,4.999999873689376e-05,0.14421455562114716,0.8759999871253967,0.36949965357780457
26,0.9443813562393188,2.499999936844688e-05,0.15265056490898132,0.871999979019165,0.3927040994167328
27,0.9580022692680359,2.499999936844688e-05,0.13895513117313385,0.8759999871253967,0.40098893642425537
28,0.9534620046615601,2.499999936844688e-05,0.14709053933620453,0.8679999709129333,0.38061341643333435
29,0.9500567317008972,2.499999936844688e-05,0.14425623416900635,0.8640000224113464,0.4075835645198822
